Zone,Miner Address,Blocks Mined
quai_backup_2023_10_04,0x72c871f639ed156De0b97C1b533e2617730b7ec2,90
quai_backup_2023_10_04,0x21c7650E65b164B2ab645eAF1141b569B2c82Bd7,95
quai_backup_2023_10_04,0x04a3e45aa16163F2663015b6695894D918866d19,88
quai_backup_2023_10_04,0xF39E7d05B5A1a2F934cC43221383f29e4794c822,115
quai_backup_2023_10_04,0x755c3603c5688CF3105F1a1AfC11fa0e1981b03B,93
quai_backup_2023_10_04,0x70e6C8b5172B3cdaD6ba684a0F36Fc169609FDE2,2
quai_backup_2023_10_04,0xb8094B2bc411942fd078D994Cc4e9418D6A5B071,103
quai_backup_2023_10_04,0xC83cb918dd9267a344B51f57e28e8cf977057E05,76
quai_backup_2023_10_04,0x3e742F0AE63d62304153526A51EE8BF0531d1887,102
quai_backup_2023_10_04,0x9fF7B1A33BB22b70F5fb78A420CEd9075C437c87,118
quai_backup_2023_10_04,0x9fF7B1A33BB22b70F5fb78A420CEd9075C437c87,68920
quai_backup_2023_10_04,0x90078646E166DAA0F6Ba6cb7e4FA82294F1612c4,7
quai_backup_2023_10_04,0x21c7650E65b164B2ab645eAF1141b569B2c82Bd7,67443
quai_backup_2023_10_04,0x04a3e45aa16163F2663015b6695894D918866d19,65558
quai_backup_2023_10_04,0x3e742F0AE63d62304153526A51EE8BF0531d1887,67050
quai_backup_2023_10_04,0x755c3603c5688CF3105F1a1AfC11fa0e1981b03B,67152
quai_backup_2023_10_04,0x8d04537e0ce24f1Be1197f72A814C65A47Fa50FC,197
quai_backup_2023_10_04,0xC83cb918dd9267a344B51f57e28e8cf977057E05,66220
quai_backup_2023_10_04,0xda8Fd2e29F85eca1779B3D9831B7f3bFd35e7FB4,213
quai_backup_2023_10_04,0x72c871f639ed156De0b97C1b533e2617730b7ec2,65823
quai_backup_2023_10_04,0x70e6C8b5172B3cdaD6ba684a0F36Fc169609FDE2,347
quai_backup_2023_10_04,0xF39E7d05B5A1a2F934cC43221383f29e4794c822,67209
quai_backup_2023_10_04,0xb8094B2bc411942fd078D994Cc4e9418D6A5B071,66301
quai_backup_2023_10_04,0xB60a48aaA1E9D8DEf08d6b03067b52C048E2bbF2,149
quai_backup_2023_10_04,0x72c871f639ed156De0b97C1b533e2617730b7ec2,2234
quai_backup_2023_10_04,0x755c3603c5688CF3105F1a1AfC11fa0e1981b03B,2229
quai_backup_2023_10_04,0x9fF7B1A33BB22b70F5fb78A420CEd9075C437c87,2313
quai_backup_2023_10_04,0x70e6C8b5172B3cdaD6ba684a0F36Fc169609FDE2,11
quai_backup_2023_10_04,0x8d04537e0ce24f1Be1197f72A814C65A47Fa50FC,4
quai_backup_2023_10_04,0xb8094B2bc411942fd078D994Cc4e9418D6A5B071,2152
quai_backup_2023_10_04,0xF39E7d05B5A1a2F934cC43221383f29e4794c822,2284
quai_backup_2023_10_04,0xda8Fd2e29F85eca1779B3D9831B7f3bFd35e7FB4,8
quai_backup_2023_10_04,0xC83cb918dd9267a344B51f57e28e8cf977057E05,2197
quai_backup_2023_10_04,0x3e742F0AE63d62304153526A51EE8BF0531d1887,2171
quai_backup_2023_10_04,0x04a3e45aa16163F2663015b6695894D918866d19,2097
quai_backup_2023_10_04,0x21c7650E65b164B2ab645eAF1141b569B2c82Bd7,2243
